Rank,Language,Speakers(millions),Percentageof world pop.(March 2019)[10],Language family,Branch
66,Mesopotamian Arabic,15.7,0.20%,Afroasiatic,Semitic
67,Assamese,15.3,0.20%,Indo-European,Indo-Aryan
68,Sinhalese,15.3,0.20%,Indo-European,Indo-Aryan
69,Northern Kurdish,14.6,0.19%,Indo-European,Iranian
70,Hejazi Arabic,14.5,0.19%,Afroasiatic,Semitic
71,Nigerian Fulfulde,14.5,0.19%,Niger–Congo,Senegambian
72,Bavarian,14.1,0.18%,Indo-European,Germanic
73,South Azerbaijani,13.8,0.18%,Turkic,Oghuz
74,Greek,13.1,0.17%,Indo-European,Hellenic
75,Chittagonian,13,0.17%,Indo-European,Indo-Aryan
76,Kazakh,12.9,0.17%,Turkic,Kipchak
77,Deccan,12.8,0.17%,Indo-European,Indo-Aryan
78,Hungarian,12.6,0.16%,Uralic,Finno-Ugric
79,Kinyarwanda,12.1,0.16%,Niger–Congo,Bantu
80,Zulu,12.1,0.16%,Niger–Congo,Bantu
81,South Levantine Arabic,11.6,0.15%,Afroasiatic,Semitic
82,Tunisian Arabic,11.6,0.15%,Afroasiatic,Semitic
83,Sanaani Spoken Arabic,11.4,0.15%,Afroasiatic,Semitic
84,Northern Min,11,0.14%,Sino-Tibetan,Sinitic
85,Southern Pashto,10.9,0.14%,Indo-European,Iranian
86,Rundi,10.8,0.14%,Niger–Congo,Bantu
87,Czech,10.7,0.14%,Indo-European,Balto-Slavic
88,Taʽizzi-Adeni Arabic,10.5,0.14%,Afroasiatic,Semitic
89,Uyghur,10.4,0.14%,Turkic,Karluk
90,Eastern Min,10.3,0.13%,Sino-Tibetan,Sinitic
91,Sylheti,10.3,0.13%,Indo-European,Indo-Aryan
